Toy Story 	1995	animation,children,comedy
GoldenEye 	1995	action,adventure,thriller
Four Rooms 	1995	thriller
Get Shorty 	1995	action,comedy,drama
Copycat 	1995	crime,drama,thriller
Shanghai Triad 	1995	drama
Twelve Monkeys 	1995	drama,sci_fi
Babe 	1995	children,comedy,drama
Dead Man Walking 	1995	drama
Richard III 	1996	drama,war
Seven 	1995	crime,thriller
Usual Suspects, The 	1995	crime,thriller
Mighty Aphrodite 	1995	comedy
Postino, Il 	1994	drama,romance
Mr. Holland's Opus 	1996	drama
French Twist 	1995	comedy,romance
From Dusk Till Dawn 	1996	action,comedy,crime,horror,thriller
White Balloon, The 	1995	drama
Antonia's Line 	1995	drama
Angels and Insects 	1995	drama,romance
Muppet Treasure Island 	1996	action,adventure,comedy,musical,thriller
Braveheart 	1996	action,drama,war
Taxi Driver 	1996	drama,thriller
Rumble in the Bronx 	1996	action,adventure,crime
Birdcage, The 	1996	comedy
Brothers McMullen, The 	1995	comedy
Bad Boys 	1995	action
Apollo 13 	1995	action,drama,thriller
Batman Forever 	1995	action,adventure,comedy,crime
Belle de jour 	1967	drama
Crimson Tide 	1995	drama,thriller,war
Crumb 	1994	documentary
Desperado 	1995	action,romance,thriller
Doom Generation, The 	1995	comedy,drama
Free Willy 2: The Adventure Home 	1995	adventure,children,drama
Mad Love 	1995	drama,romance
Nadja 	1994	drama
Net, The 	1995	sci_fi,thriller
Strange Days 	1995	action,crime,sci_fi
To Wong Foo, Thanks for Everything! Julie Newmar 	1995	comedy
Billy Madison 	1995	comedy
Clerks 	1994	comedy
Disclosure 	1994	drama,thriller
Dolores Claiborne 	1994	drama,thriller
Eat Drink Man Woman 	1994	comedy,drama
Exotica 	1994	drama
Ed Wood 	1994	comedy,drama
Hoop Dreams 	1994	documentary
I.Q. 	1994	comedy,romance
Star Wars 	1977	action,adventure,romance,sci_fi,war
Legends of the Fall 	1994	drama,romance,war,western
Madness of King George, The 	1994	drama
Natural Born Killers 	1994	action,thriller
Outbreak 	1995	action,drama,thriller
Professional, The 	1994	crime,drama,romance,thriller
Pulp Fiction 	1994	crime,drama
Priest 	1994	drama
Quiz Show 	1994	drama
Three Colors: Red 	1994	drama
Three Colors: Blue 	1993	drama
Three Colors: White 	1994	drama
Stargate 	1994	action,adventure,sci_fi
Santa Clause, The 	1994	children,comedy
Shawshank Redemption, The 	1994	drama
What's Eating Gilbert Grape 	1993	comedy,drama
While You Were Sleeping 	1995	comedy,romance
Ace Ventura: Pet Detective 	1994	comedy
Crow, The 	1994	action,romance,thriller
Forrest Gump 	1994	comedy,romance,war
Four Weddings and a Funeral 	1994	comedy,romance
Lion King, The 	1994	animation,children,musical
Mask, The 	1994	comedy,crime,fantasy
Maverick 	1994	action,comedy,western
Faster Pussycat! Kill! Kill! 	1965	action,comedy,drama
Brother Minister: The Assassination of Malcolm X 	1994	documentary
Carlito's Way 	1993	crime,drama
Firm, The 	1993	drama,thriller
Free Willy 	1993	adventure,children,drama
Fugitive, The 	1993	action,thriller
Hot Shots! Part Deux 	1993	action,comedy,war
Hudsucker Proxy, The 	1994	comedy,romance
Jurassic Park 	1993	action,adventure,sci_fi
Much Ado About Nothing 	1993	comedy,romance
Robert A. Heinlein's The Puppet Masters 	1994	horror,sci_fi
Ref, The 	1994	comedy
Remains of the Day, The 	1993	drama
Searching for Bobby Fischer 	1993	drama
Sleepless in Seattle 	1993	comedy,romance
Blade Runner 	1982	film_noir,sci_fi
So I Married an Axe Murderer 	1993	comedy,romance,thriller
Nightmare Before Christmas, The 	1993	children,comedy,musical
True Romance 	1993	action,crime,romance
Welcome to the Dollhouse 	1996	comedy,drama
Home Alone 	1990	children,comedy
Aladdin 	1992	animation,children,comedy,musical
